"row_id","agreeableness_high","agreeableness_low","conscientiousness_high","conscientiousness_low","extraversion_high","extraversion_low","neuroticism_high","neuroticism_low","openness_high","openness_low"
"big5-000032",0.0136122689618023,0.127302815009129,0.098196819278269,0.00646981837064774,0.000808756381106937,0.253154994287202,0.0264183918609348,0.042484004791535,0.00113260470372632,0.430419526355646
"big5-000038",0.0942247853270926,0.0530358532108408,0.0924666019919232,0.0203692111246508,0.0423211653630748,0.23840960155957,0.110477004639891,0.216662385417395,0.044599293737561,0.0874340976280012
"big5-000042",0.0513793781584744,0.0249759707830838,0.239144059662612,0.0138040274934922,0.0217203506596481,0.0653401217565693,0.098508887176117,0.26821875123155,0.0318845832052463,0.185023869873207
"big5-000046",0.00778391845781653,0.000449197083381693,0.00243406246389793,0.339972439876072,0.00423290962428669,0.0904667873646916,0.0235344129692277,0.0141820875402906,0.00208150930347503,0.51486267531686
"big5-000048",9.14863397484991e-05,7.68959815173157e-05,8.73076311376499e-05,0.0457987953881575,5.65735852176625e-06,0.0161350166436925,0.00156998960954153,0.000250163933527814,2.62022364233962e-06,0.935982066890513
"big5-000062",0.00780429084334326,0.0262757664132864,0.0036286483458496,0.0415466059108443,0.00993761170403971,0.269203482315406,0.0146109391239909,0.0201264660249392,0.00610566587013782,0.600760523448163
"big5-000079",0.000914038450150577,0.00021934819042103,0.00692460504483194,0.0440091061954294,0.000199575961869768,0.00846901009496178,0.0235654119145605,0.000437413319742396,7.97587010066055e-05,0.915181732127026
"big5-000082",0.00629758928041149,5.95465886119791e-05,0.0191594506306369,0.00856867703873769,0.00352811103200587,0.022882315747135,0.000806208317458608,0.0629179364110641,0.000483946867749397,0.875296218086189
"big5-000087",0.0263742135477019,2.28416554130891e-05,0.0026213425373932,0.00734235948381662,0.000303492241011149,0.369355697069394,0.00604784927186707,0.00981482504332213,4.71160542888531e-05,0.578070263095792
"big5-000099",0.0166153656514108,0.289235955638886,0.0374173339924051,0.206914380945646,0.091778090054011,0.0338666701824624,0.0557446357291717,0.0650998914518104,0.0283292469877857,0.174998429366411
"big5-000101",0.0346590035956837,0.00265027957277675,0.0359043137020266,0.0364478356280917,0.00782738207520683,0.413100302102915,0.0376821044006885,0.120022716840399,0.00675475590194871,0.304951306180264
"big5-000108",0.0651214202439554,0.00665532392442351,0.305400929452835,0.00374845994733692,0.0105275608156626,0.141721365500262,0.0159182889616656,0.220593814404444,0.00671453393545746,0.223598302813958
"big5-000110",0.0246047327814745,7.35649323881038e-05,0.0131834792526699,0.00909730924003227,0.000103975901180238,0.388069380310788,0.00647233243207768,0.0162841260606301,0.000141916211743557,0.541969182877016
"big5-000114",0.00141221503560665,9.96147761661627e-05,0.000289655540556366,0.0244845302355736,0.000297680022118274,0.152907313239061,0.00915165160283877,0.00108746078773927,0.000175712352754374,0.810094166407585
"big5-000119",0.00323577825884684,0.00618325034970638,0.00275294431235985,0.0314695168509997,0.00437464995441304,0.365496839463331,0.0882296236120179,0.00307786701740987,0.00550186373070972,0.489677666450206
"big5-000121",0.00325138304699896,0.460054756114576,0.0231940009306516,0.0653060674805133,0.0117159873673599,0.0198590505940598,0.15488101525645,0.00614240927055687,0.00260048186063226,0.252994848078201
"big5-000122",0.127224662340685,0.441748682038321,0.089030759702656,0.014429631255591,0.00695278474489659,0.0701057172258103,0.120855114284725,0.0790486503431644,0.00470258921983587,0.0459014088443145
"big5-000126",0.0132402507707699,0.00112812622108228,0.0311544533523448,0.0174581650213927,0.000927617962045251,0.366860181538831,0.0562946359030666,0.0384146408269678,0.000109758272473101,0.474412170131027
"big5-000127",0.00328208320574468,0.00149271949886283,0.00842716315875081,0.0199428784915052,0.00145898329539568,0.128038161174111,0.0614948421948555,0.00421513209189971,0.00228551099794562,0.769362525890929
"big5-000131",0.0650188359390337,0.207087972544382,0.0351731031866925,0.0549251747690394,0.0067077403825515,0.0781936508341637,0.165069793300355,0.0550343817195342,0.00562446425736869,0.32716488306688
